word,class_a,class_b
timeshare,0.000008069657281655247,0.000008069657281655247
lick,0.000008069657281655247,0.000008069657281655247
assertive,0.000008069657281655247,0.000008069657281655247
salesperson,0.000008069657281655247,0.000008069657281655247
thanksgiving,0.000008069657281655247,0.000008069657281655247
clip,0.000024208971844965745,0.000024208971844965745
vespa,0.000008069657281655247,0.000008069657281655247
lagr,0.000008069657281655247,0.000008069657281655247
kxmqh,0.000008069657281655247,0.000008069657281655247
tqpi,0.000008069657281655247,0.000008069657281655247
tylercowen,0.000008069657281655247,0.000008069657281655247
stevejobsdquote,0.000008069657281655247,0.000008069657281655247
suburban,0.00004034828640827624,0.00004034828640827624
akp,0.000008069657281655247,0.000008069657281655247
rfkq,0.000008069657281655247,0.000008069657281655247
yn,0.000008069657281655247,0.000008069657281655247
teased,0.000008069657281655247,0.000008069657281655247
tsutifys,0.000008069657281655247,0.000008069657281655247
ilx,0.000008069657281655247,0.000008069657281655247
decatur,0.000008069657281655247,0.000008069657281655247
metaphor,0.000024208971844965745,0.000024208971844965745
ahhh,0.000008069657281655247,0.000008069657281655247
g,0.0005164580660259358,0.0005164580660259358
xeecjr,0.000008069657281655247,0.000008069657281655247
mcley,0.000008069657281655247,0.000008069657281655247
europe,0.000016139314563310495,0.000016139314563310495
example,0.00007262691553489724,0.00007262691553489724
xk,0.000008069657281655247,0.000008069657281655247
dwk,0.000008069657281655247,0.000008069657281655247
le,0.000008069657281655247,0.000008069657281655247
houses,0.000024208971844965745,0.000024208971844965745
startups,0.00004034828640827624,0.00004034828640827624
regulators,0.00007262691553489724,0.00007262691553489724
reynoldswrap,0,0
vixw,0.000008069657281655247,0.000008069657281655247
classic,0.000008069657281655247,0.000008069657281655247
nightlife,0.000016139314563310495,0.000016139314563310495
donnamct,0.000008069657281655247,0.000008069657281655247
projected,0.000008069657281655247,0.000008069657281655247
scottkirsner,0.000008069657281655247,0.000008069657281655247
dennis,0.000008069657281655247,0.000008069657281655247
evidence,0.000008069657281655247,0.000008069657281655247
electric,0.0003631345776744862,0.0003631345776744862
bullydogshd,0,0
khifqomepo,0.000008069657281655247,0.000008069657281655247
bucket,0.000016139314563310495,0.000016139314563310495
hello,0.00004034828640827624,0.00004034828640827624
transported,0.000008069657281655247,0.000008069657281655247
triple,0.000008069657281655247,0.000008069657281655247
outweigh,0.000008069657281655247,0.000008069657281655247
met,0.00003227862912662099,0.00003227862912662099
testament,0.000016139314563310495,0.000016139314563310495
commotion,0.000008069657281655247,0.000008069657281655247
troykinsey,0.000008069657281655247,0.000008069657281655247
curious,0.00003227862912662099,0.00003227862912662099
demand,0.00008069657281655248,0.00008069657281655248
town,0.00015332348835144971,0.00015332348835144971
mupeu,0.000008069657281655247,0.000008069657281655247
ida,0.000008069657281655247,0.000008069657281655247
hyg,0.000008069657281655247,0.000008069657281655247
sighted,0.00004034828640827624,0.00004034828640827624
knsxtagb,0.000008069657281655247,0.000008069657281655247
npscnvcni,0.000008069657281655247,0.000008069657281655247
reader,0.00003227862912662099,0.00003227862912662099
bwukrmoznw,0.000008069657281655247,0.000008069657281655247
laptop,0.00004034828640827624,0.00004034828640827624
german,0.000008069657281655247,0.000008069657281655247
jovgu,0.000008069657281655247,0.000008069657281655247
papers,0.000008069657281655247,0.000008069657281655247
vnc,0.000008069657281655247,0.000008069657281655247
wygtf,0.000008069657281655247,0.000008069657281655247
page,0.00006455725825324198,0.00006455725825324198
connellmcshane,0.000008069657281655247,0.000008069657281655247
leap,0.000016139314563310495,0.000016139314563310495
creative,0.000016139314563310495,0.000016139314563310495
uuunqwyvrs,0.000008069657281655247,0.000008069657281655247
'trolley',0.000008069657281655247,0.000008069657281655247
thegooglecar,0.000024208971844965745,0.000024208971844965745
thedailybeast,0.000008069657281655247,0.000008069657281655247
blown,0.000056487600971586734,0.000056487600971586734
assing,0.000008069657281655247,0.000008069657281655247
meg,0.000008069657281655247,0.000008069657281655247
pleasanton,0.000008069657281655247,0.000008069657281655247
wtop,0.000008069657281655247,0.000008069657281655247
vgnknktjj,0.000008069657281655247,0.000008069657281655247
forbes,0.0002582290330129679,0.0002582290330129679
lqjm,0.000008069657281655247,0.000008069657281655247
undoubtedly,0.000016139314563310495,0.000016139314563310495
envious,0.000016139314563310495,0.000016139314563310495
wu,0.000008069657281655247,0.000008069657281655247
respond,0.000024208971844965745,0.000024208971844965745
santana,0.000008069657281655247,0.000008069657281655247
ifxatyifk,0.000008069657281655247,0.000008069657281655247
ways,0.00009683588737986298,0.00009683588737986298
rescue,0.000008069657281655247,0.000008069657281655247
race',0.000008069657281655247,0.000008069657281655247
hunterwalk,0.000024208971844965745,0.000024208971844965745
wo,0.00007262691553489724,0.00007262691553489724
tandy,0.000008069657281655247,0.000008069657281655247
squawkalley,0.000008069657281655247,0.000008069657281655247
gh,0.000016139314563310495,0.000016139314563310495
xkayyvyktn,0.000008069657281655247,0.000008069657281655247
neverswitchoff,0.000008069657281655247,0.000008069657281655247
msquinn,0.000016139314563310495,0.000016139314563310495
inegzilt,0.000008069657281655247,0.000008069657281655247
zain,0.000008069657281655247,0.000008069657281655247
honk,0.000024208971844965745,0.000024208971844965745
bsaitz,0.000008069657281655247,0.000008069657281655247
